HH Size,HH Income,Mean HH Age,Rent,Latest Subsidy,First Subsidy,Late Fees?,Military,Disability,PrimaryIncome,Negative,Validation Stratified by Negative
1,1410,63.09,645,645,645,N,NA,NA,G,0,Training
1,12960,,540,0,0,Y,NA,NA,NA,0,Training
1,33600,30.11,708,0,0,N,NA,NA,W,0,Training
1,24608,34.35,370,0,0,N,NA,NA,F,0,Training
1,9741,62.73,432,0,0,N,NA,NA,SS,0,Training
1,22454,26.23,575,0,0,N,NA,NA,W,0,Training
1,0,33.16,539,489,486,Y,NA,NA,N,0,Training
1,7400,69.2,884,517,600,Y,NA,NA,NA,0,Training
3,26641,11.05,728,0,0,Y,No,NA,W,0,Training
1,15874,69.96,595,98,0,N,NA,NA,SS,0,Training
2,18040,33.72,664,0,0,N,NA,NA,NA,0,Training
1,23043,24.47,515,0,0,N,NA,NA,W,0,Training
1,17408,58.01,740,460,639,N,NA,NA,SS,0,Training
1,27168,40.49,1132,1132,1132,N,NA,NA,NA,0,Training
1,24000,35.43,630,0,0,Y,NA,NA,W,0,Training
1,1500,60.74,812,874,0,N,NA,NA,N,0,Training
1,20400,,850,0,0,N,NA,NA,NA,0,Training
2,5172,23.23,735,662,0,N,NA,NA,T,0,Training
3,13335,21.51,1224,1130,963,Y,NA,NA,SI,0,Training
1,26735,58.18,850,203,188,Y,NA,NA,SS,0,Training
2,21952,30.48,665,0,0,Y,NA,NA,W,0,Training
1,17340,34.24,670,0,0,Y,NA,NA,SS,0,Training
1,3492,26.3,645,645,645,N,NA,NA,N,0,Training
2,21266,21.28,575,0,0,N,NA,NA,W,0,Training
1,20352,83.32,850,351,331,N,Yes,No,SS,0,Training
2,14882,57.85,836,0,0,Y,NA,NA,W,0,Training
1,0,27.22,515,0,0,N,NA,NA,NA,0,Training
1,26143,53.34,443,0,0,N,NA,NA,NA,0,Training
1,12114,23.75,625,625,296,Y,NA,NA,W,0,Training
1,10794,40.97,429,0,0,Y,NA,NA,F,0,Training
1,25480,30.22,438,0,0,Y,No,No,W,0,Training
1,12595,60.31,891,700,0,N,NA,NA,SS,0,Training
1,30186,32.45,696,0,0,Y,NA,NA,W,0,Training
2,59000,54.42,957,0,0,Y,NA,NA,NA,0,Training
2,28800,,1200,0,0,N,NA,NA,NA,0,Training
1,19675,33.47,422,0,0,N,NA,NA,W,0,Training
1,17390,31.72,929,740,556,Y,No,NA,W,0,Training
1,26280,37.3,600,0,0,N,NA,NA,W,0,Training
4,6384,19.91,1162,1097,1097,N,NA,NA,G,0,Training
2,11617,37.05,947,647,569,Y,NA,NA,SS,0,Training
1,12132,31.19,817,617,600,Y,No,NA,SI,0,Training
1,360,59.12,813,568.2,560.8,N,No,NA,NA,0,Training
1,7272,26.64,627,410,404,Y,NA,NA,SI,0,Training
2,38391,35.69,690,0,0,N,NA,NA,W,0,Training
1,12168,28.43,885,413,0,Y,NA,NA,B,0,Training
1,360,27.84,612,582,582,Y,NA,NA,N,0,Training
1,8328,57.56,432,0,0,N,Yes,NA,SS,0,Training
1,12025,26.64,434,0,0,Y,NA,NA,W,0,Training
1,15600,28.96,389,0,0,N,NA,NA,W,0,Training
2,16896,66.19,663,0,0,Y,NA,NA,W,0,Training
1,12299,32.1,478,0,0,N,NA,NA,SS,0,Training
1,10008,71.26,764,539,447,Y,No,No,SS,0,Training
4,21866,18.57,812,0,0,N,No,NA,W,0,Training
1,28000,28.79,530,0,0,N,NA,NA,F,0,Training
3,8784,19.44,978,828,891,N,NA,NA,G,0,Training
1,18000,29.36,445,0,0,Y,NA,NA,W,0,Training
1,2436,52.42,385,0,0,N,NA,NA,G,0,Training
2,15600,19.27,763,740,496,Y,NA,NA,W,0,Training
1,8328,50.71,625,509,501,N,NA,NA,SS,0,Training
2,21000,23.69,700,0,0,N,No,NA,CS,0,Training
1,42000,48.04,970,0,0,Y,No,NA,NA,0,Training
1,10891,57.01,433,0,0,N,NA,NA,SS,0,Training
1,10751,26.49,434,0,0,Y,NA,NA,W,0,Training
1,1212,55.56,616,555,478,N,Yes,NA,G,0,Training
1,32080,38.59,631,0,0,N,NA,NA,W,0,Training
1,27500,41.23,415,0,0,Y,NA,NA,NA,0,Training
1,15977,27.33,635,0,0,N,NA,NA,W,0,Training
1,8376,52.68,653,443,406,N,NA,NA,SS,0,Training
1,9741,45.27,744,533,509,Y,NA,NA,SS,0,Training
1,17000,38.47,434,0,0,N,NA,NA,W,0,Training
1,8637,60.83,478,0,0,N,NA,NA,SI,0,Training
3,46800,61.64,1020,0,0,N,NA,NA,NA,0,Training
1,17136,51.87,689,0,0,Y,NA,NA,W,0,Training
1,17364,88.6,595,338,0,N,No,No,SS,0,Training
1,1666,32.39,620,584,584,Y,NA,NA,N,0,Training
1,18848,31.57,480,0,0,N,NA,NA,W,0,Training
1,3168,30.78,623,623,623,N,NA,NA,NA,0,Training
2,11616,38.16,484,0,0,N,NA,NA,NA,0,Training
5,22107,17.91,926,0,0,N,NA,NA,W,0,Training
2,28000,48.85,1045,0,0,N,NA,NA,NA,0,Training
1,1068,59.27,653,413,538,N,No,Yes,G,0,Training
1,17160,51.83,443,0,0,Y,NA,NA,NA,0,Training
1,18722,34.49,430,0,0,N,NA,NA,W,0,Training
2,32400,34.35,940,0,0,N,NA,NA,NA,0,Training
8,13728,18.99,1134,879,1040,N,NA,NA,NA,0,Training
1,2436,54.25,675,635,642,N,NA,NA,NA,0,Training
1,9984,,416,0,0,N,NA,NA,NA,0,Training
1,21400,26.54,630,0,0,N,NA,NA,W,0,Training
1,15600,25,520,0,0,Y,No,NA,W,0,Training
2,30000,55.14,1305,0,0,Y,NA,NA,NA,0,Training
5,13936,15.16,832,0,0,Y,No,NA,B,0,Training
1,14185,29.86,597,0,0,Y,NA,NA,W,0,Training
2,27600,28.95,1150,0,0,N,NA,NA,NA,0,Training
1,29028,54.91,666,0,0,Y,No,NA,W,0,Training
3,22800,58.51,950,0,0,N,NA,NA,NA,0,Training
6,25755,18.14,1092,596,759,Y,No,NA,W,0,Training
1,13440,71.08,429,0,0,N,NA,NA,SS,0,Training
1,16875,37.74,587,0,0,Y,NA,NA,N,0,Training
1,23400,34.08,499,0,0,Y,NA,NA,W,0,Training
1,10074,20.16,658,490,477,Y,No,NA,W,0,Training
1,18960,34.49,790,0,0,N,No,NA,NA,0,Training
